Wall time,Step,Value
1757969706.8869097,128,0.8668760657310486
1757969728.3697355,256,0.953590452671051
1757969744.8360782,384,0.9636179208755493
1757969767.7334864,512,1.0179433822631836
1757969782.741792,640,1.0352609157562256
1757969806.6520789,768,0.9540113210678101
1757969818.2607782,896,1.1057969331741333
1757969839.5942283,1024,1.1739140748977661
1757969855.434713,1152,1.1785964965820312
1757969874.6168694,1280,1.0034822225570679
1757969887.362446,1408,1.0709270238876343
1757969908.230811,1536,1.1010420322418213
1757969921.7283714,1664,1.1124478578567505
1757969943.8404734,1792,1.039846658706665
1757969957.1536071,1920,1.1341147422790527
1757969977.9334629,2048,1.1602977514266968
1757969992.6656146,2176,1.2370339632034302
1757970013.3918777,2304,1.1152875423431396
1757970027.7274346,2432,1.0653421878814697
1757970046.1134303,2560,1.1220542192459106
1757970058.3901954,2688,1.1896051168441772
1757970081.9056082,2816,1.247604489326477
1757970098.5060117,2944,1.0369354486465454
1757970118.0277383,3072,0.9868210554122925
1757970132.581248,3200,0.9479679465293884
1757970153.025241,3328,1.0210758447647095
1757970167.0921135,3456,1.0623635053634644
1757970185.1740873,3584,1.1610801219940186
1757970199.0420682,3712,1.2219314575195312
1757970219.4827433,3840,1.1231385469436646
1757970233.6659021,3968,1.141171932220459
1757970253.5976002,4096,1.1708024740219116
1757970267.5156467,4224,1.2206817865371704
1757970289.9366922,4352,1.1231166124343872
1757970302.8748438,4480,1.1216477155685425
1757970322.5249093,4608,1.1918108463287354
1757970339.669596,4736,1.1796741485595703
1757970359.329548,4864,1.1519370079040527
1757970376.8299627,4992,1.1094611883163452
1757970395.1325088,5120,1.0712746381759644
1757970406.4846277,5248,1.1828974485397339
1757970417.074483,5376,1.275106430053711
1757970436.9156883,5504,1.3187867403030396
1757970450.709647,5632,1.259135127067566
1757970471.7787561,5760,1.2361040115356445
1757970485.047887,5888,1.2773784399032593
1757970507.5765274,6016,1.2087875604629517
1757970520.2679987,6144,1.1909542083740234
1757970541.2012916,6272,1.1804943084716797
1757970553.3700624,6400,1.308679461479187
1757970573.4387825,6528,1.2903921604156494
1757970586.3531177,6656,1.3604985475540161
1757970604.629222,6784,1.4143550395965576
1757970617.2132556,6912,1.4269909858703613
1757970629.0019934,7040,1.468578577041626
1757970649.6659348,7168,1.4769636392593384
1757970662.9267936,7296,1.3051416873931885
1757970679.4682393,7424,1.442559838294983
1757970691.481404,7552,1.3796310424804688
1757970711.4187899,7680,1.4094364643096924
1757970724.8934243,7808,1.364748239517212
1757970737.4400098,7936,1.4343763589859009
1757970759.4765842,8064,1.4346011877059937
1757970770.442564,8192,1.4785653352737427
1757970793.0613554,8320,1.3137462139129639
1757970805.657576,8448,1.3221335411071777
1757970824.386131,8576,1.3667171001434326
1757970838.482052,8704,1.4647177457809448
1757970852.4251637,8832,1.3555282354354858
1757970871.437939,8960,1.3323901891708374
1757970886.9976711,9088,1.2311434745788574
1757970908.4072368,9216,1.2289059162139893
1757970922.354297,9344,1.1837389469146729
1757970940.7635374,9472,1.2758322954177856
1757970953.1773138,9600,1.3577944040298462
1757970968.3951192,9728,1.4911344051361084
1757970983.0520158,9856,1.450294852256775
1757970993.819988,9984,1.5095247030258179
1757971012.4669683,10112,1.4826278686523438
