,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_gamma,params_learning_rate,params_n_steps,params_net_arch,params_safe_max_rho,state
0,0,0.06473214285714286,2025-09-14 01:09:42.862839,2025-09-14 01:10:25.355507,0 days 00:00:42.492668,16,0.9627562676834567,1.2221634728708957e-06,16,200,0.9420528446875918,COMPLETE
1,1,0.06473214285714286,2025-09-14 01:10:25.356032,2025-09-14 01:11:05.475326,0 days 00:00:40.119294,16,0.9651222065888228,1.0158950859134955e-06,16,200,0.9414619782628019,COMPLETE
2,2,0.13467261904761904,2025-09-14 01:11:05.475509,2025-09-14 01:11:56.652065,0 days 00:00:51.176556,16,0.9235789327183106,4.1143739889412374e-06,32,100,0.9922227447734681,COMPLETE
3,3,0.13467261904761904,2025-09-14 01:11:56.652216,2025-09-14 01:12:44.652954,0 days 00:00:48.000738,8,0.9043890042406774,6.448631388221991e-06,32,100,0.9880607299431744,COMPLETE
4,4,0.13467261904761904,2025-09-14 01:12:44.653106,2025-09-14 01:15:31.628754,0 days 00:02:46.975648,32,0.9303131819936025,3.1483714746900687e-06,128,100,0.9950755594934497,COMPLETE
5,5,0.13467261904761904,2025-09-14 01:15:31.629061,2025-09-14 01:16:19.405792,0 days 00:00:47.776731,16,0.9843611523573331,5.922132456139184e-06,32,500,0.9819462592318114,COMPLETE
6,6,0.13467261904761904,2025-09-14 01:16:19.406012,2025-09-14 01:17:07.576969,0 days 00:00:48.170957,16,0.9094724309764536,1.818874823914516e-06,32,500,0.9828371330888068,COMPLETE
7,7,0.08841765873015874,2025-09-14 01:17:07.577238,2025-09-14 01:18:21.055398,0 days 00:01:13.478160,16,0.9382950266074422,5.100057920493603e-06,64,100,0.9584753823343767,COMPLETE
8,8,0.13467261904761904,2025-09-14 01:18:21.055537,2025-09-14 01:19:42.497287,0 days 00:01:21.441750,16,0.966123413631343,2.4956714989148644e-06,64,400,0.9926794379098609,COMPLETE
9,9,0.06460813492063493,2025-09-14 01:19:42.497525,2025-09-14 01:20:20.149589,0 days 00:00:37.652064,16,0.9147218179690169,2.0165458066525635e-06,8,100,0.9290930720468391,COMPLETE
